Wavelength (um),n                         
13.6981614,1.795197284
13.72370699,1.793995949
13.74925259,1.792751368
13.77479818,1.791458234
13.80034377,1.790116341
13.82588936,1.78872545
13.85143495,1.787280628
13.87698054,1.785784258
13.90252613,1.784238212
13.92807172,1.782637213
13.95361731,1.780982613
13.97916291,1.779275285
14.0047085,1.777509126
14.03025409,1.775688664
14.05579968,1.773818564
14.08134527,1.771891641
14.10689086,1.769912992
14.13243645,1.767889835
14.15798204,1.765814928
14.18352764,1.763693401
14.20907323,1.761535576
14.23461882,1.759340374
14.26016441,1.757104874
14.28571,1.75483
