wavelength,n
1.1737E-05,1.240500693
1.17501E-05,1.239985634
0.000011763,1.239479779
1.17633E-05,1.239469445
1.17764E-05,1.238952116
1.17896E-05,1.238433642
1.18027E-05,1.237914019
1.18159E-05,1.237393247
1.1829E-05,1.236871323
1.18422E-05,1.236348245
1.18553E-05,1.235824011
1.18685E-05,1.235298619
1.18815E-05,1.234777339
1.18816E-05,1.234772067
1.18948E-05,1.23424434
1.19079E-05,1.233715425
1.19211E-05,1.233185328
1.19342E-05,1.232654051
1.19474E-05,1.2321216
1.19605E-05,1.231587976
1.19737E-05,1.231053186
1.19868E-05,1.230517231
0.000012,1.229980117
